Zeit,Temperatur Innen(℃),Luftfeuchtigkeit Innen(%),Temperatur Aussen(℃),Luftfeuchtigkeit Aussen(%),Taupunkt(℃),Gefühlte Temperatur(℃),Wind(m/s),Böe(m/s),Windrichtung(°),Abs. Luftdruck(hpa),Rel. Luftdruck(hpa),Sonneneinstrahlung(w/m2),UVI,Regen/Stunde(mm),Regen Event(mm),Regen/Tag(mm),Regen/Wochen(mm),Regen/Monat(mm),Regen/Jahre(mm),Pm2.5(ug/m3)
2020/11/27 19:27,20.3,54,-0.2,78,-3.6,-0.2,0.0,0.0,153,975.3,975.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/11/27 19:32,20.2,54,-0.9,81,-3.7,-0.9,0.0,0.0,153,975.5,975.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/11/27 19:37,20.2,54,-1.3,84,-3.7,-1.3,0.0,0.0,153,975.4,975.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/11/27 19:42,20.2,54,-1.7,87,-3.6,-1.7,0.0,0.0,153,975.4,975.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/11/27 19:47,20.2,54,-2.1,88,-3.9,-2.1,0.0,0.0,153,975.3,975.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/11/27 19:52,20.2,54,-2.3,89,-3.9,-2.3,0.0,0.0,153,975.4,975.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/11/27 19:57,20.2,54,-2.5,90,-3.9,-2.5,0.0,0.0,153,975.5,975.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/11/27 20:14,20.2,54,-2.9,92,-4.0,-2.9,0.0,0.0,153,975.6,975.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/11/27 20:19,20.2,54,-3.0,92,-4.1,-3.0,0.0,0.0,153,975.6,975.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/11/27 20:24,20.2,54,-3.0,92,-4.1,-3.0,0.0,0.0,153,975.7,975.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/11/27 20:29,20.2,54,-3.0,93,-4.0,-3.0,0.0,0.0,153,975.8,975.8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/11/27 20:34,20.3,54,-3.0,94,-3.9,-3.0,0.0,0.0,153,975.8,975.8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/11/27 20:39,20.3,54,-3.0,95,-3.7,-3.0,0.0,0.0,153,976.0,976.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/11/27 20:44,20.3,54,-2.9,95,-3.6,-2.9,0.0,0.0,153,976.0,976.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/11/27 20:54,20.3,54,-2.9,95,-3.6,-2.9,0.0,0.0,153,975.7,975.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/11/27 21:04,20.3,54,-2.8,95,-3.5,-2.8,0.0,0.0,153,975.8,975.8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/11/27 21:14,20.2,54,-2.8,95,-3.5,-2.8,0.0,0.0,153,975.9,975.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/11/27 21:30,20.1,54,-2.7,95,-3.4,-2.7,0.0,0.0,153,975.8,975.8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/11/27 21:40,20.0,54,-2.6,96,-3.1,-2.6,0.0,0.0,153,976.0,976.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/11/27 21:50,20.0,54,-2.5,96,-3.0,-2.5,0.0,0.0,153,975.9,975.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
