Zeit,Temperatur Innen(℃),Luftfeuchtigkeit Innen(%),Temperatur Aussen(℃),Luftfeuchtigkeit Aussen(%),Taupunkt(℃),Gefühlte Temperatur(℃),Wind(m/s),Böe(m/s),Windrichtung(°),Abs. Luftdruck(hpa),Rel. Luftdruck(hpa),Sonneneinstrahlung(w/m2),UVI,Regen/Stunde(mm),Regen Event(mm),Regen/Tag(mm),Regen/Wochen(mm),Regen/Monat(mm),Regen/Jahre(mm),Pm2.5(ug/m3)
2020/12/1 0:00,19.7,57,-1.4,95,-2.1,-1.4,0.1,0.5,174,977.1,1023.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/12/1 0:02,19.7,57,-1.4,95,-2.1,-1.4,0.0,0.0,174,977.1,1023.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/12/1 0:07,19.6,57,-1.4,94,-2.3,-1.4,0.0,0.0,174,977.0,1023.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/12/1 0:12,19.6,57,-1.5,94,-2.4,-1.5,0.0,0.0,174,977.1,1023.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/12/1 0:17,19.5,57,-1.5,95,-2.2,-1.5,0.0,0.0,174,977.0,1023.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/12/1 0:22,19.5,57,-1.7,95,-2.4,-1.7,0.0,0.0,174,977.1,1023.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/12/1 0:27,19.4,57,-1.7,95,-2.4,-1.7,0.0,0.0,174,976.8,1022.8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/12/1 0:32,19.3,57,-1.7,96,-2.2,-1.7,0.0,0.0,174,976.8,1022.8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/12/1 0:37,19.3,57,-1.7,95,-2.4,-1.7,0.0,0.0,174,976.6,1022.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/12/1 0:42,19.2,57,-1.7,95,-2.4,-1.7,0.0,0.0,174,976.8,1022.8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
