Zeit,Temperatur Innen(℃),Luftfeuchtigkeit Innen(%),Temperatur Aussen(℃),Luftfeuchtigkeit Aussen(%),Taupunkt(℃),Gefühlte Temperatur(℃),Wind(km/h),Böe(km/h),Windrichtung(°),Abs. Luftdruck(hpa),Rel. Luftdruck(hpa),Sonneneinstrahlung(w/m2),UVI,Regen/Stunde(mm),Regen Event(mm),Regen/Tag(mm),Regen/Wochen(mm),Regen/Monat(mm),Regen/Jahre(mm),Pm2.5(ug/m3)
2020/12/5 12:36,21.9,63,6.7,80,3.5,6.7,2.2,3.6,162,959.0,1008.7,193.8,1,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 12:41,20.9,39,6.9,76,2.9,6.1,5.4,7.2,149,958.9,1008.6,186.0,1,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 12:46,20.2,49,6.7,77,2.9,5.4,6.8,7.2,142,958.7,1008.4,160.8,1,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 12:51,20.3,52,6.3,78,2.7,4.5,8.6,11.2,128,958.7,1008.4,164.7,1,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 12:56,20.6,54,6.3,79,2.9,4.6,7.9,9.4,146,958.8,1008.5,163.0,1,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 13:01,20.7,55,6.8,76,2.9,5.1,8.6,9.4,132,958.8,1008.5,162.2,1,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 13:06,20.8,56,6.9,76,2.9,5.6,6.8,7.2,166,958.6,1008.3,158.3,1,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 13:11,20.8,56,6.4,78,2.8,4.8,7.9,9.4,126,958.8,1008.5,155.7,1,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 13:16,20.9,56,5.7,81,2.7,5.7,1.4,3.6,74,959.0,1008.7,159.5,1,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 13:21,20.9,57,5.7,83,3.0,5.7,4.3,5.4,95,958.9,1008.6,157.4,1,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 13:26,20.9,57,6.1,81,3.1,6.1,1.1,1.8,98,958.8,1008.5,153.8,1,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 13:31,20.9,57,6.5,78,2.9,5.3,6.5,9.4,137,958.7,1008.4,143.9,1,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 13:36,20.9,57,6.3,78,2.7,5.4,5.4,7.2,125,958.9,1008.6,158.6,1,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 13:41,21.0,57,6.2,78,2.6,4.4,8.6,9.4,122,958.9,1008.6,135.3,1,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 13:46,21.1,56,6.1,78,2.5,4.6,7.2,9.4,128,958.7,1008.4,153.5,1,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 13:51,21.2,56,5.8,80,2.6,5.0,5.0,7.2,153,958.9,1008.6,135.6,1,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 13:56,21.2,56,5.9,80,2.7,3.6,10.4,11.2,130,958.8,1008.5,128.3,1,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 14:01,21.3,56,5.8,79,2.4,3.9,9.0,11.2,165,958.8,1008.5,120.4,1,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 14:06,21.3,56,6.1,78,2.5,3.7,11.2,13.0,180,958.8,1008.5,118.7,1,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 14:11,21.3,56,7.3,75,3.2,4.8,13.7,18.4,168,958.9,1008.6,109.2,1,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 14:16,21.3,56,7.0,77,3.2,4.7,11.9,13.0,173,958.8,1008.5,112.3,1,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 14:21,21.4,56,6.9,77,3.1,4.8,10.8,13.0,164,958.6,1008.3,114.5,1,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 14:26,21.4,55,6.8,77,3.0,4.8,10.1,13.0,174,958.7,1008.4,104.1,1,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 14:31,21.3,55,7.0,76,3.0,4.8,11.2,14.8,173,958.7,1008.4,107.5,1,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 14:36,21.3,54,7.0,76,3.0,4.6,12.2,16.6,203,958.8,1008.5,99.3,0,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 14:41,21.3,55,7.0,76,3.0,5.2,9.4,11.2,185,959.0,1008.7,89.7,0,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 14:46,21.2,55,7.2,76,3.2,4.9,11.9,16.6,203,959.0,1008.7,71.9,0,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 14:51,21.2,55,6.8,77,3.0,5.8,6.1,7.2,182,959.1,1008.8,66.7,0,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 14:56,21.2,55,6.5,79,3.1,5.4,6.1,7.2,192,959.2,1008.9,69.3,0,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 15:01,21.2,55,6.6,78,3.0,4.6,10.1,11.2,173,959.3,1009.0,71.5,0,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 15:06,21.3,55,6.6,78,3.0,5.0,7.9,11.2,157,959.4,1009.1,68.5,0,0.0,0.0,0.3,0.8,0.8,0.8,--
2020/12/5 15:11,21.3,56,6.2,80,3.0,6.2,2.2,3.6,131,959.5,1009.2,54.1,0,0.0,0.0,0.3,0.8,0.8,0.8,--
