Zeit,Temperatur(℃),Taupunkt(℃),Wärmeindex(℃),Luftfeuchtigkeit(%)
2020/11/27 19:27,11.4,0.2,11.4,46
2020/11/27 19:32,11.2,0.0,11.2,46
2020/11/27 19:37,10.9,0.0,10.9,47
2020/11/27 19:42,11.5,1.2,11.5,49
2020/11/27 19:47,10.2,0.2,10.2,50
2020/11/27 19:52,9.1,0.0,9.1,53
2020/11/27 19:57,8.5,0.0,8.5,55
2020/11/27 20:14,7.7,0.0,7.7,58
2020/11/27 20:19,7.6,0.1,7.6,59
2020/11/27 20:24,7.5,0.0,7.5,59
2020/11/27 20:29,7.5,0.2,7.5,60
2020/11/27 20:34,7.4,0.1,7.4,60
2020/11/27 20:39,7.4,0.1,7.4,60
2020/11/27 20:44,7.4,0.4,7.4,61
2020/11/27 20:54,7.3,0.5,7.3,62
2020/11/27 21:04,6.9,0.1,6.9,62
2020/11/27 21:14,6.2,-0.1,6.2,64
2020/11/27 21:30,5.6,-0.3,5.6,66
2020/11/27 21:40,5.5,-0.2,5.5,67
2020/11/27 21:50,5.3,-0.4,5.3,67
2020/11/27 22:00,5.2,-0.2,5.2,68
2020/11/27 22:10,5.1,-0.3,5.1,68
2020/11/27 22:20,5.0,-0.2,5.0,69
2020/11/27 22:30,5.0,-0.2,5.0,69
2020/11/27 22:40,5.0,-0.2,5.0,69
2020/11/27 22:50,4.9,-0.3,4.9,69
2020/11/27 23:00,4.9,-0.1,4.9,70
2020/11/27 23:10,4.8,-0.2,4.8,70
2020/11/27 23:20,4.8,-0.2,4.8,70
2020/11/27 23:30,4.8,-0.2,4.8,70
2020/11/27 23:40,4.8,0.0,4.8,71
2020/11/27 23:50,4.8,0.0,4.8,71
2020/11/28 0:00,4.8,0.0,4.8,71
2020/11/28 0:10,4.7,-0.1,4.7,71
2020/11/28 0:20,4.7,-0.1,4.7,71
2020/11/28 0:30,4.7,0.1,4.7,72
2020/11/28 0:40,4.7,0.1,4.7,72
2020/11/28 0:50,4.7,0.1,4.7,72
2020/11/28 1:00,4.6,0.0,4.6,72
2020/11/28 1:10,4.6,0.0,4.6,72
2020/11/28 1:20,4.6,0.0,4.6,72
2020/11/28 1:30,4.6,0.2,4.6,73
2020/11/28 1:40,4.5,0.1,4.5,73
2020/11/28 1:50,4.5,0.1,4.5,73
2020/11/28 2:00,4.5,0.1,4.5,73
2020/11/28 2:10,4.5,0.1,4.5,73
2020/11/28 2:20,4.5,0.1,4.5,73
2020/11/28 2:30,4.5,0.1,4.5,73
2020/11/28 2:40,4.5,0.1,4.5,73
2020/11/28 2:50,4.5,0.1,4.5,73
2020/11/28 3:00,4.5,0.1,4.5,73
2020/11/28 3:10,4.4,0.0,4.4,73
2020/11/28 3:20,4.4,0.0,4.4,73
2020/11/28 3:30,4.4,0.0,4.4,73
2020/11/28 3:40,4.4,0.0,4.4,73
2020/11/28 3:50,4.4,0.0,4.4,73
2020/11/28 4:00,4.4,0.2,4.4,74
2020/11/28 4:10,4.4,0.2,4.4,74
