Zeit,Bodenfeuchte(%)
2021/2/25 14:28,36
2021/2/25 14:33,36
2021/2/25 14:38,38
2021/2/25 14:43,37
2021/2/25 14:48,38
2021/2/25 14:53,38
2021/2/25 14:58,38
2021/2/25 15:03,38
2021/2/25 15:08,38
2021/2/25 15:13,38
2021/2/25 15:18,38
2021/2/25 15:23,38
2021/2/25 15:28,38
2021/2/25 15:33,38
2021/2/25 15:38,38
2021/2/25 15:43,39
2021/2/25 15:48,39
2021/2/25 15:53,39
2021/2/25 15:58,39
2021/2/25 16:03,39
2021/2/25 16:08,39
2021/2/25 16:13,39
2021/2/25 16:18,39
2021/2/25 16:23,39
2021/2/25 16:28,39
2021/2/25 16:33,39
2021/2/25 16:38,39
2021/2/25 16:43,39
2021/2/25 16:48,39
2021/2/25 16:53,39
2021/2/25 16:58,39
2021/2/25 17:03,39
2021/2/25 17:08,39
2021/2/25 17:13,39
2021/2/25 17:18,39
2021/2/25 17:23,39
2021/2/25 17:28,39
2021/2/25 17:33,39
2021/2/25 17:38,39
2021/2/25 17:43,39
2021/2/25 17:48,39
2021/2/25 17:53,39
2021/2/25 17:58,39
2021/2/25 18:03,39
2021/2/25 18:08,39
2021/2/25 18:13,39
2021/2/25 18:18,39
2021/2/25 18:23,39
2021/2/25 18:28,39
2021/2/25 18:33,39
2021/2/25 18:38,39
2021/2/25 18:43,39
2021/2/25 18:48,39
2021/2/25 18:53,39
2021/2/25 18:58,39
2021/2/25 19:03,39
2021/2/25 19:08,39
2021/2/25 19:13,39
2021/2/25 19:18,39
2021/2/25 19:23,39
2021/2/25 19:28,39
2021/2/25 19:33,39
2021/2/25 19:38,39
2021/2/25 19:43,39
2021/2/25 19:48,39
2021/2/25 19:53,39
2021/2/25 19:58,39
2021/2/25 20:03,39
2021/2/25 20:08,39
2021/2/25 20:13,39
2021/2/25 20:18,39
2021/2/25 20:23,39
2021/2/25 20:28,39
2021/2/25 20:33,39
2021/2/25 20:38,39
2021/2/25 20:43,39
2021/2/25 20:48,39
2021/2/25 20:53,39
2021/2/25 20:58,39
2021/2/25 21:03,39
2021/2/25 21:08,39
2021/2/25 21:13,39
2021/2/25 21:18,39
2021/2/25 21:23,39
2021/2/25 21:28,39
2021/2/25 21:33,39
2021/2/25 21:38,39
2021/2/25 21:43,39
2021/2/25 21:48,39
2021/2/25 21:53,39
2021/2/25 21:58,39
2021/2/25 22:03,39
2021/2/25 22:08,39
2021/2/25 22:13,39
2021/2/25 22:18,39
2021/2/25 22:23,39
2021/2/25 22:28,39
2021/2/25 22:33,39
2021/2/25 22:38,39
2021/2/25 22:43,39
2021/2/25 22:48,39
2021/2/25 22:53,39
2021/2/25 22:58,39
2021/2/25 23:03,39
2021/2/25 23:08,39
2021/2/25 23:13,39
2021/2/25 23:18,39
2021/2/25 23:23,39
2021/2/25 23:28,39
2021/2/25 23:33,39
2021/2/25 23:38,39
2021/2/25 23:43,39
2021/2/25 23:48,39
2021/2/25 23:53,39
2021/2/25 23:58,39
2021/2/26 0:00,39
2021/2/26 0:03,39
2021/2/26 0:08,39
2021/2/26 0:13,39
2021/2/26 0:18,39
2021/2/26 0:23,39
2021/2/26 0:28,39
2021/2/26 0:33,39
2021/2/26 0:38,39
2021/2/26 0:43,39
2021/2/26 0:48,39
2021/2/26 0:53,39
2021/2/26 0:58,39
2021/2/26 1:03,39
2021/2/26 1:08,39
2021/2/26 1:13,39
2021/2/26 1:18,39
2021/2/26 1:23,39
2021/2/26 1:28,39
2021/2/26 1:33,39
2021/2/26 1:38,39
2021/2/26 1:43,39
2021/2/26 1:48,39
2021/2/26 1:53,39
2021/2/26 1:58,39
2021/2/26 2:03,39
2021/2/26 2:08,39
2021/2/26 2:13,39
2021/2/26 2:18,39
2021/2/26 2:23,39
2021/2/26 2:28,39
2021/2/26 2:33,39
2021/2/26 2:38,39
2021/2/26 2:43,39
2021/2/26 2:48,39
2021/2/26 2:53,39
2021/2/26 2:58,39
