Zeit,CH1 Temperature(℃),CH1 Taupunkt(℃),CH1 Wärmeindex(℃),CH1 Luftfeuchtigkeit(%),CH2 Temperature(℃),CH2 Taupunkt(℃),CH2 Wärmeindex(℃),CH2 Luftfeuchtigkeit(%),CH3 Temperature(℃),CH3 Taupunkt(℃),CH3 Wärmeindex(℃),CH3 Luftfeuchtigkeit(%),CH4 Temperature(℃),CH4 Taupunkt(℃),CH4 Wärmeindex(℃),CH4 Luftfeuchtigkeit(%),CH5 Temperature(℃),CH5 Taupunkt(℃),CH5 Wärmeindex(℃),CH5 Luftfeuchtigkeit(%),CH6 Temperature(℃),CH6 Taupunkt(℃),CH6 Wärmeindex(℃),CH6 Luftfeuchtigkeit(%),CH7 Temperature(℃),CH7 Taupunkt(℃),CH7 Wärmeindex(℃),CH7 Luftfeuchtigkeit(%),CH8 Temperature(℃),CH8 Taupunkt(℃),CH8 Wärmeindex(℃),CH8 Luftfeuchtigkeit(%),WN35CH1hum(%),WN35CH2hum(%),WN35CH3hum(%),WN35CH4hum(%),WN35CH5hum(%),WN35CH6hum(%),WN35CH7hum(%),WN35CH8hum(%),Blitzanzahl,Blitzentfernung,WH45 Temperatur(℃),WH45 Luftfeuchtigkeit(%),WH45 CO2(ppm),WH45 Pm2.5(ug/m3),WH45 Pm10(ug/m3),BodenfeuchteKA1(%),BodenfeuchteKA2(%),BodenfeuchteKA3(%),BodenfeuchteKA4(%),BodenfeuchteKA5(%),BodenfeuchteKA6(%),BodenfeuchteKA7(%),BodenfeuchteKA8(%),LeckenAuf KA1,LeckenAuf KA2,LeckenAuf KA3,LeckenAuf KA4,Pm2.5KA1(ug/m3),Pm2.5KA2(ug/m3),Pm2.5KA3(ug/m3),Pm2.5KA4(ug/m3),WN34KA1(℃),WN34KA2(℃),WN34KA3(℃),WN34KA4(℃),WN34KA5(℃),WN34KA6(℃),WN34KA7(℃),WN34KA8(℃)
2023/1/1 0:00,12.5,6.3,12.5,66,17.2,10.3,17.2,64,5.6,3.7,5.6,88,--,--,--,--,20.5,14.6,20.5,69,12.8,6.4,12.8,65,--,--,--,--,19.7,13.6,19.7,68,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/1/1 0:02,12.6,6.4,12.6,66,17.2,10.3,17.2,64,5.5,3.6,5.5,88,--,--,--,--,20.5,14.6,20.5,69,12.8,6.4,12.8,65,--,--,--,--,19.7,13.6,19.7,68,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/1/1 0:05,12.5,6.3,12.5,66,17.3,10.9,17.3,66,5.5,3.6,5.5,88,--,--,--,--,20.5,14.6,20.5,69,12.8,6.4,12.8,65,--,--,--,--,19.7,13.4,19.7,67,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/1/1 0:08,12.6,6.4,12.6,66,17.3,10.9,17.3,66,5.5,3.6,5.5,88,--,--,--,--,20.5,14.6,20.5,69,12.8,6.4,12.8,65,--,--,--,--,19.6,13.3,19.6,67,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/1/1 0:11,12.6,6.4,12.6,66,17.3,10.9,17.3,66,5.5,3.6,5.5,88,--,--,--,--,20.5,14.6,20.5,69,12.8,6.4,12.8,65,--,--,--,--,19.6,13.3,19.6,67,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/1/1 0:14,12.5,6.3,12.5,66,17.3,10.9,17.3,66,5.5,3.6,5.5,88,--,--,--,--,20.6,14.7,20.6,69,12.8,6.4,12.8,65,--,--,--,--,19.6,13.3,19.6,67,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/1/1 0:17,12.6,6.4,12.6,66,17.3,10.9,17.3,66,5.5,3.6,5.5,88,--,--,--,--,20.6,14.7,20.6,69,12.8,6.4,12.8,65,--,--,--,--,19.6,13.3,19.6,67,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/1/1 0:20,12.6,6.4,12.6,66,17.3,11.1,17.3,67,5.5,3.6,5.5,88,--,--,--,--,20.6,14.5,20.6,68,12.8,6.4,12.8,65,--,--,--,--,19.6,13.3,19.6,67,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/1/1 0:23,12.6,6.4,12.6,66,17.4,11.2,17.4,67,5.5,3.6,5.5,88,--,--,--,--,20.5,14.4,20.5,68,12.7,6.3,12.7,65,--,--,--,--,19.6,13.5,19.6,68,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/1/1 0:26,12.5,6.3,12.5,66,17.4,11.0,17.4,66,5.5,3.6,5.5,88,--,--,--,--,20.5,14.4,20.5,68,12.7,6.3,12.7,65,--,--,--,--,19.5,13.4,19.5,68,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/1/1 0:29,12.6,6.4,12.6,66,17.3,10.9,17.3,66,5.5,3.6,5.5,88,--,--,--,--,20.5,14.4,20.5,68,12.7,6.3,12.7,65,--,--,--,--,19.6,13.5,19.6,68,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/1/1 0:32,12.6,6.4,12.6,66,17.3,10.7,17.3,65,5.5,3.6,5.5,88,--,--,--,--,20.5,14.6,20.5,69,12.7,6.3,12.7,65,--,--,--,--,19.6,13.5,19.6,68,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/1/1 0:35,12.6,6.4,12.6,66,17.3,10.7,17.3,65,5.4,3.5,5.4,88,--,--,--,--,20.5,14.6,20.5,69,12.7,6.3,12.7,65,--,--,--,--,19.6,13.8,19.6,69,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/1/1 0:38,12.5,6.3,12.5,66,17.2,10.6,17.2,65,5.4,3.5,5.4,88,--,--,--,--,20.4,14.5,20.4,69,12.7,6.3,12.7,65,--,--,--,--,19.5,13.7,19.5,69,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/1/1 0:41,12.6,6.4,12.6,66,17.2,10.6,17.2,65,5.4,3.5,5.4,88,--,--,--,--,20.4,14.5,20.4,69,12.7,6.3,12.7,65,--,--,--,--,19.5,13.7,19.5,69,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/1/1 0:44,12.5,6.3,12.5,66,17.2,10.6,17.2,65,5.5,3.6,5.5,88,--,--,--,--,20.4,14.5,20.4,69,12.7,6.3,12.7,65,--,--,--,--,19.5,13.7,19.5,69,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/1/1 0:47,12.6,6.4,12.6,66,17.2,10.6,17.2,65,5.4,3.5,5.4,88,--,--,--,--,20.4,14.5,20.4,69,12.7,6.3,12.7,65,--,--,--,--,19.6,13.8,19.6,69,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/1/1 0:50,12.6,6.4,12.6,66,17.2,10.6,17.2,65,5.4,3.5,5.4,88,--,--,--,--,20.4,14.5,20.4,69,12.7,6.3,12.7,65,--,--,--,--,19.5,13.7,19.5,69,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/1/1 0:53,12.6,6.4,12.6,66,17.2,10.6,17.2,65,5.4,3.5,5.4,88,--,--,--,--,20.4,14.5,20.4,69,12.7,6.3,12.7,65,--,--,--,--,19.5,13.7,19.5,69,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
