Zeit,Temperatur Innen(℃),Luftfeuchtigkeit Innen(%),Temperatur Aussen(℃),Luftfeuchtigkeit Aussen(%),Taupunkt(℃),Gefühlte Temperatur(℃),Wind(km/h),Böe(km/h),Windrichtung(°),Abs. Luftdruck(hpa),Rel. Luftdruck(hpa),Sonneneinstrahlung(w/m2),UVI,Regen/Stunde(mm),Regen Event(mm),Regen/Tag(mm),Regen/Wochen(mm),Regen/Monat(mm),Regen/Jahre(mm),Pm2.5(ug/m3)
2025/8/1 0:00,23.5,63,14.0,99,13.8,14.0,0.0,0.0,280,970.8,1019.6,0.0,0,0.0,2.6,0.0,6.1,0.0,131.4,--
2025/8/1 0:03,23.5,63,13.9,99,13.7,13.9,0.0,0.0,280,971.0,1019.8,0.0,0,0.0,2.6,0.0,6.1,0.0,131.4,--
2025/8/1 0:06,23.5,63,13.8,99,13.6,13.8,0.0,0.0,280,970.9,1019.7,0.0,0,0.0,2.6,0.0,6.1,0.0,131.4,--
2025/8/1 0:09,23.5,63,13.8,99,13.6,13.8,0.0,0.0,280,971.0,1019.8,0.0,0,0.0,2.6,0.0,6.1,0.0,131.4,--
2025/8/1 0:12,23.5,63,13.7,99,13.5,13.7,0.0,0.0,277,971.0,1019.8,0.0,0,0.0,2.6,0.0,6.1,0.0,131.4,--
2025/8/1 0:15,23.4,63,13.7,99,13.5,13.7,0.0,0.0,282,971.0,1019.8,0.0,0,0.0,2.6,0.0,6.1,0.0,131.4,--
2025/8/1 0:18,23.4,63,13.8,99,13.6,13.8,0.0,0.0,283,970.9,1019.7,0.0,0,0.0,2.6,0.0,6.1,0.0,131.4,--
2025/8/1 0:21,23.5,63,13.7,99,13.5,13.7,0.0,0.0,273,971.0,1019.8,0.0,0,0.0,2.6,0.0,6.1,0.0,131.4,--
2025/8/1 0:24,23.4,63,13.8,99,13.6,13.8,0.0,0.0,285,971.0,1019.8,0.0,0,0.0,2.6,0.0,6.1,0.0,131.4,--
2025/8/1 0:27,23.4,63,13.9,99,13.7,13.9,0.0,0.0,283,970.9,1019.7,0.0,0,0.0,2.6,0.0,6.1,0.0,131.4,--
2025/8/1 0:30,23.4,63,13.9,99,13.7,13.9,0.0,0.0,283,971.0,1019.8,0.0,0,0.0,2.6,0.0,6.1,0.0,131.4,--
2025/8/1 0:33,23.4,63,13.8,99,13.6,13.8,0.0,0.0,283,971.1,1019.9,0.0,0,0.0,2.6,0.0,6.1,0.0,131.4,--
2025/8/1 0:36,23.4,63,13.7,99,13.5,13.7,0.0,0.0,282,971.2,1020.0,0.0,0,0.0,2.6,0.0,6.1,0.0,131.4,--
2025/8/1 0:39,23.4,63,13.6,99,13.4,13.6,0.0,0.0,282,970.9,1019.7,0.0,0,0.0,2.6,0.0,6.1,0.0,131.4,--
2025/8/1 0:42,23.4,63,13.5,99,13.3,13.5,0.0,0.0,282,971.1,1019.9,0.0,0,0.0,2.6,0.0,6.1,0.0,131.4,--
2025/8/1 0:45,23.4,63,13.5,99,13.3,13.5,0.0,0.0,282,970.8,1019.6,0.0,0,0.0,2.6,0.0,6.1,0.0,131.4,--
2025/8/1 0:48,23.4,63,13.4,99,13.2,13.4,0.0,0.0,282,971.0,1019.8,0.0,0,0.0,2.6,0.0,6.1,0.0,131.4,--
2025/8/1 0:51,23.4,63,13.4,99,13.2,13.4,0.0,0.0,282,971.1,1019.9,0.0,0,0.0,2.6,0.0,6.1,0.0,131.4,--
2025/8/1 0:54,23.4,63,13.2,99,13.0,13.2,0.0,0.0,282,971.0,1019.8,0.0,0,0.0,2.6,0.0,6.1,0.0,131.4,--
2025/8/1 0:57,23.4,63,13.2,99,13.0,13.2,0.0,0.0,282,971.1,1019.9,0.0,0,0.0,2.6,0.0,6.1,0.0,131.4,--
2025/8/1 1:00,23.4,63,13.3,99,13.1,13.3,0.0,0.0,282,971.2,1020.0,0.0,0,0.0,2.6,0.0,6.1,0.0,131.4,--
