Zeit,Temperatur Innen(℃),Luftfeuchtigkeit Innen(%),Temperatur Aussen(℃),Luftfeuchtigkeit Aussen(%),Taupunkt(℃),Gefühlte Temperatur(℃),Wind(m/s),Böe(m/s),Windrichtung(°),Abs. Luftdruck(hpa),Rel. Luftdruck(hpa),Sonneneinstrahlung(w/m2),UVI,Regen/Stunde(mm),Regen Event(mm),Regen/Tag(mm),Regen/Wochen(mm),Regen/Monat(mm),Regen/Jahre(mm)
2020/11/28 12:56,19.9,55,-1.8,95,-2.5,-1.8,0.2,0.5,192,972.8,972.8,118.7,1,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28 13:06,19.8,55,-1.9,95,-2.6,-1.9,0.0,0.0,192,972.7,972.7,113.1,1,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28 13:16,19.8,54,-2.0,96,-2.5,-2.0,0.0,0.0,192,972.6,972.6,113.1,1,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28 13:26,19.7,54,-1.8,95,-2.5,-1.8,0.1,0.5,197,972.4,972.4,108.3,1,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28 13:36,19.6,54,-1.5,94,-2.4,-1.5,0.0,0.0,197,972.3,972.3,98.8,0,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28 13:46,19.5,54,-1.5,94,-2.4,-1.5,0.0,0.0,197,972.2,972.2,97.1,0,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28 13:56,19.4,54,-1.6,95,-2.3,-1.6,0.1,0.5,196,972.0,972.0,94.9,0,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28 14:06,19.3,54,-1.6,96,-2.1,-1.6,0.4,0.5,197,972.1,972.1,87.1,0,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28 14:16,19.2,54,-1.8,96,-2.3,-1.8,0.0,0.0,197,972.1,972.1,76.7,0,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28 14:26,19.2,55,-1.7,97,-2.1,-1.7,0.0,0.0,196,972.1,972.1,60.1,0,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28 14:36,19.1,55,-2.0,97,-2.4,-2.0,0.0,0.0,196,972.0,972.0,58.4,0,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28 14:46,19.1,55,-2.0,97,-2.4,-2.0,0.0,0.0,196,972.0,972.0,62.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28 14:56,19.2,56,-1.9,98,-2.2,-1.9,0.0,0.0,196,971.9,971.9,52.4,0,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28 15:06,19.2,56,-1.9,97,-2.3,-1.9,0.0,0.0,196,971.9,971.9,39.8,0,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28 15:16,19.3,56,-2.0,98,-2.3,-2.0,0.0,0.0,196,972.0,972.0,32.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28 15:26,19.4,56,-2.1,98,-2.4,-2.1,0.0,0.0,196,972.1,972.1,25.5,0,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28 15:36,19.5,56,-2.2,98,-2.5,-2.2,0.0,0.0,196,972.1,972.1,19.4,0,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28 15:46,19.6,57,-2.3,98,-2.6,-2.3,0.0,0.0,196,972.2,972.2,13.8,0,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28 15:56,19.7,58,-2.4,98,-2.7,-2.4,0.0,0.0,196,972.1,972.1,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28 16:06,19.8,58,-2.4,98,-2.7,-2.4,0.0,0.0,196,972.3,972.3,4.7,0,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28 16:16,19.9,59,-2.5,98,-2.8,-2.5,0.4,0.5,197,972.2,972.2,1.2,0,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28 16:26,20.0,60,-2.6,98,-2.9,-2.6,0.0,0.0,197,972.6,972.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28 16:36,20.1,60,-2.6,98,-2.9,-2.6,0.0,0.0,197,972.6,972.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28 16:46,20.1,59,-2.6,98,-2.9,-2.6,0.0,0.0,197,972.7,972.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28 16:56,20.1,59,-2.7,99,-2.9,-2.7,0.6,1.0,199,972.7,972.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28 17:06,20.1,59,-2.9,99,-3.1,-2.9,0.5,0.5,239,972.7,972.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020/11/28 17:16,20.2,58,-2.8,99,-3.0,-2.8,0.0,0.0,242,973.1,973.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
